# This file should contain all the redirects in the documentation
# in the format `<old_path>,<new_path>`

# whatsnew
whatsnew,whatsnew/index
generated/pandas.CategoricalIndex.ordered,../reference/api/pandas.CategoricalIndex.ordered
generated/pandas.CategoricalIndex.remove_categories,../reference/api/pandas.CategoricalIndex.remove_categories
generated/pandas.CategoricalIndex.remove_unused_categories,../reference/api/pandas.CategoricalIndex.remove_unused_categories
generated/pandas.CategoricalIndex.rename_categories,../reference/api/pandas.CategoricalIndex.rename_categories
generated/pandas.CategoricalIndex.reorder_categories,../reference/api/pandas.CategoricalIndex.reorder_categories
generated/pandas.CategoricalIndex.set_categories,../reference/api/pandas.CategoricalIndex.set_categories
generated/pandas.Categorical.ordered,../reference/api/pandas.Categorical.ordered
generated/pandas.concat,../reference/api/pandas.concat
generated/pandas.core.groupby.DataFrameGroupBy.all,../reference/api/pandas.core.groupby.DataFrameGroupBy.all
generated/pandas.core.groupby.DataFrameGroupBy.any,../reference/api/pandas.core.groupby.DataFrameGroupBy.any
generated/pandas.core.groupby.DataFrameGroupBy.bfill,../reference/api/pandas.core.groupby.DataFrameGroupBy.bfill
generated/pandas.core.groupby.DataFrameGroupBy.boxplot,../reference/api/pandas.core.groupby.DataFrameGroupBy.boxplot
generated/pandas.core.groupby.DataFrameGroupBy.corr,../reference/api/pandas.core.groupby.DataFrameGroupBy.corr
generated/pandas.core.groupby.DataFrameGroupBy.corrwith,../reference/api/pandas.core.groupby.DataFrameGroupBy.corrwith
generated/pandas.core.groupby.DataFrameGroupBy.count,../reference/api/pandas.core.groupby.DataFrameGroupBy.count
generated/pandas.core.groupby.DataFrameGroupBy.cov,../reference/api/pandas.core.groupby.DataFrameGroupBy.cov
generated/pandas.core.groupby.DataFrameGroupBy.cummax,../reference/api/pandas.core.groupby.DataFrameGroupBy.cummax
generated/pandas.core.groupby.DataFrameGroupBy.cummin,../reference/api/pandas.core.groupby.DataFrameGroupBy.cummin
generated/pandas.core.groupby.DataFrameGroupBy.cumprod,../reference/api/pandas.core.groupby.DataFrameGroupBy.cumprod
generated/pandas.core.groupby.DataFrameGroupBy.cumsum,../reference/api/pandas.core.groupby.DataFrameGroupBy.cumsum
generated/pandas.core.groupby.DataFrameGroupBy.describe,../reference/api/pandas.core.groupby.DataFrameGroupBy.describe
generated/pandas.core.groupby.DataFrameGroupBy.diff,../reference/api/pandas.core.groupby.DataFrameGroupBy.diff
generated/pandas.core.groupby.DataFrameGroupBy.ffill,../reference/api/pandas.core.groupby.DataFrameGroupBy.ffill
generated/pandas.core.groupby.DataFrameGroupBy.fillna,../reference/api/pandas.core.groupby.DataFrameGroupBy.fillna
generated/pandas.core.groupby.DataFrameGroupBy.filter,../reference/api/pandas.core.groupby.DataFrameGroupBy.filter
generated/pandas.core.groupby.DataFrameGroupBy.hist,../reference/api/pandas.core.groupby.DataFrameGroupBy.hist
generated/pandas.core.groupby.DataFrameGroupBy.idxmax,../reference/api/pandas.core.groupby.DataFrameGroupBy.idxmax
generated/pandas.core.groupby.DataFrameGroupBy.idxmin,../reference/api/pandas.core.groupby.DataFrameGroupBy.idxmin
generated/pandas.core.groupby.DataFrameGroupBy.mad,../reference/api/pandas.core.groupby.DataFrameGroupBy.mad
generated/pandas.core.groupby.DataFrameGroupBy.pct_change,../reference/api/pandas.core.groupby.DataFrameGroupBy.pct_change
generated/pandas.core.groupby.DataFrameGroupBy.plot,../reference/api/pandas.core.groupby.DataFrameGroupBy.plot
generated/pandas.core.groupby.DataFrameGroupBy.quantile,../reference/api/pandas.core.groupby.DataFrameGroupBy.quantile
generated/pandas.core.groupby.DataFrameGroupBy.rank,../reference/api/pandas.core.groupby.DataFrameGroupBy.rank
generated/pandas.core.groupby.DataFrameGroupBy.resample,../reference/api/pandas.core.groupby.DataFrameGroupBy.resample
generated/pandas.core.groupby.DataFrameGroupBy.shift,../reference/api/pandas.core.groupby.DataFrameGroupBy.shift
generated/pandas.core.groupby.DataFrameGroupBy.size,../reference/api/pandas.core.groupby.DataFrameGroupBy.size
generated/pandas.core.groupby.DataFrameGroupBy.skew,../reference/api/pandas.core.groupby.DataFrameGroupBy.skew
generated/pandas.core.groupby.DataFrameGroupBy.take,../reference/api/pandas.core.groupby.DataFrameGroupBy.take
generated/pandas.core.groupby.DataFrameGroupBy.tshift,../reference/api/pandas.core.groupby.DataFrameGroupBy.tshift
generated/pandas.core.groupby.GroupBy.agg,../reference/api/pandas.core.groupby.GroupBy.agg
generated/pandas.core.groupby.GroupBy.aggregate,../reference/api/pandas.core.groupby.GroupBy.aggregate
generated/pandas.core.groupby.GroupBy.all,../reference/api/pandas.core.groupby.GroupBy.all
generated/pandas.core.groupby.GroupBy.any,../reference/api/pandas.core.groupby.GroupBy.any
generated/pandas.core.groupby.GroupBy.apply,../reference/api/pandas.core.groupby.GroupBy.apply
generated/pandas.core.groupby.GroupBy.bfill,../reference/api/pandas.core.groupby.GroupBy.bfill
generated/pandas.core.groupby.GroupBy.count,../reference/api/pandas.core.groupby.GroupBy.count
generated/pandas.core.groupby.GroupBy.cumcount,../reference/api/pandas.core.groupby.GroupBy.cumcount
generated/pandas.core.groupby.GroupBy.ffill,../reference/api/pandas.core.groupby.GroupBy.ffill
generated/pandas.core.groupby.GroupBy.first,../reference/api/pandas.core.groupby.GroupBy.first
generated/pandas.core.groupby.GroupBy.get_group,../reference/api/pandas.core.groupby.GroupBy.get_group
generated/pandas.core.groupby.GroupBy.groups,../reference/api/pandas.core.groupby.GroupBy.groups
generated/pandas.core.groupby.GroupBy.head,../reference/api/pandas.core.groupby.GroupBy.head
generated/pandas.core.groupby.GroupBy.indices,../reference/api/pandas.core.groupby.GroupBy.indices
generated/pandas.core.groupby.GroupBy.__iter__,../reference/api/pandas.core.groupby.GroupBy.__iter__
generated/pandas.core.groupby.GroupBy.last,../reference/api/pandas.core.groupby.GroupBy.last
generated/pandas.core.groupby.GroupBy.max,../reference/api/pandas.core.groupby.GroupBy.max
generated/pandas.core.groupby.GroupBy.mean,../reference/api/pandas.core.groupby.GroupBy.mean
generated/pandas.core.groupby.GroupBy.median,../reference/api/pandas.core.groupby.GroupBy.median
generated/pandas.core.groupby.GroupBy.min,../reference/api/pandas.core.groupby.GroupBy.min
generated/pandas.core.groupby.GroupBy.ngroup,../reference/api/pandas.core.groupby.GroupBy.ngroup
generated/pandas.core.groupby.GroupBy.nth,../reference/api/pandas.core.groupby.GroupBy.nth
generated/pandas.core.groupby.GroupBy.ohlc,../reference/api/pandas.core.groupby.GroupBy.ohlc
generated/pandas.core.groupby.GroupBy.pct_change,../reference/api/pandas.core.groupby.GroupBy.pct_change
generated/pandas.core.groupby.GroupBy.pipe,../reference/api/pandas.core.groupby.GroupBy.pipe
generated/pandas.core.groupby.GroupBy.prod,../reference/api/pandas.core.groupby.GroupBy.prod
generated/pandas.core.groupby.GroupBy.rank,../reference/api/pandas.core.groupby.GroupBy.rank
generated/pandas.core.groupby.GroupBy.sem,../reference/api/pandas.core.groupby.GroupBy.sem
generated/pandas.core.groupby.GroupBy.size,../reference/api/pandas.core.groupby.GroupBy.size
generated/pandas.core.groupby.GroupBy.std,../reference/api/pandas.core.groupby.GroupBy.std
generated/pandas.core.groupby.GroupBy.sum,../reference/api/pandas.core.groupby.GroupBy.sum
generated/pandas.core.groupby.GroupBy.tail,../reference/api/pandas.core.groupby.GroupBy.tail
generated/pandas.core.groupby.GroupBy.transform,../reference/api/pandas.core.groupby.GroupBy.transform
generated/pandas.core.groupby.GroupBy.var,../reference/api/pandas.core.groupby.GroupBy.var
generated/pandas.core.groupby.SeriesGroupBy.is_monotonic_decreasing,../reference/api/pandas.core.groupby.SeriesGroupBy.is_monotonic_decreasing
generated/pandas.core.groupby.SeriesGroupBy.is_monotonic_increasing,../reference/api/pandas.core.groupby.SeriesGroupBy.is_monotonic_increasing
generated/pandas.core.groupby.SeriesGroupBy.nlargest,../reference/api/pandas.core.groupby.SeriesGroupBy.nlargest
generated/pandas.core.groupby.SeriesGroupBy.nsmallest,../reference/api/pandas.core.groupby.SeriesGroupBy.nsmallest
generated/pandas.core.groupby.SeriesGroupBy.nunique,../reference/api/pandas.core.groupby.SeriesGroupBy.nunique
generated/pandas.core.groupby.SeriesGroupBy.unique,../reference/api/pandas.core.groupby.SeriesGroupBy.unique
generated/pandas.core.groupby.SeriesGroupBy.value_counts,../reference/api/pandas.core.groupby.SeriesGroupBy.value_counts
generated/pandas.core.resample.Resampler.aggregate,../reference/api/pandas.core.resample.Resampler.aggregate
generated/pandas.core.resample.Resampler.apply,../reference/api/pandas.core.resample.Resampler.apply
generated/pandas.core.resample.Resampler.asfreq,../reference/api/pandas.core.resample.Resampler.asfreq
generated/pandas.core.resample.Resampler.backfill,../reference/api/pandas.core.resample.Resampler.backfill
generated/pandas.core.resample.Resampler.bfill,../reference/api/pandas.core.resample.Resampler.bfill
generated/pandas.core.resample.Resampler.count,../reference/api/pandas.core.resample.Resampler.count
generated/pandas.core.resample.Resampler.ffill,../reference/api/pandas.core.resample.Resampler.ffill
generated/pandas.core.resample.Resampler.fillna,../reference/api/pandas.core.resample.Resampler.fillna
generated/pandas.core.resample.Resampler.first,../reference/api/pandas.core.resample.Resampler.first
generated/pandas.core.resample.Resampler.get_group,../reference/api/pandas.core.resample.Resampler.get_group
generated/pandas.core.resample.Resampler.groups,../reference/api/pandas.core.resample.Resampler.groups
generated/pandas.core.resample.Resampler.indices,../reference/api/pandas.core.resample.Resampler.indices
generated/pandas.core.resample.Resampler.interpolate,../reference/api/pandas.core.resample.Resampler.interpolate
generated/pandas.core.resample.Resampler.__iter__,../reference/api/pandas.core.resample.Resampler.__iter__
generated/pandas.core.resample.Resampler.last,../reference/api/pandas.core.resample.Resampler.last
generated/pandas.core.resample.Resampler.max,../reference/api/pandas.core.resample.Resampler.max
generated/pandas.core.resample.Resampler.mean,../reference/api/pandas.core.resample.Resampler.mean
generated/pandas.core.resample.Resampler.median,../reference/api/pandas.core.resample.Resampler.median
generated/pandas.core.resample.Resampler.min,../reference/api/pandas.core.resample.Resampler.min
generated/pandas.core.resample.Resampler.nearest,../reference/api/pandas.core.resample.Resampler.nearest
generated/pandas.core.resample.Resampler.nunique,../reference/api/pandas.core.resample.Resampler.nunique
generated/pandas.core.resample.Resampler.ohlc,../reference/api/pandas.core.resample.Resampler.ohlc
generated/pandas.core.resample.Resampler.pad,../reference/api/pandas.core.resample.Resampler.pad
generated/pandas.core.resample.Resampler.pipe,../reference/api/pandas.core.resample.Resampler.pipe
generated/pandas.core.resample.Resampler.prod,../reference/api/pandas.core.resample.Resampler.prod
generated/pandas.core.resample.Resampler.quantile,../reference/api/pandas.core.resample.Resampler.quantile
generated/pandas.core.resample.Resampler.sem,../reference/api/pandas.core.resample.Resampler.sem
generated/pandas.core.resample.Resampler.size,../reference/api/pandas.core.resample.Resampler.size
generated/pandas.core.resample.Resampler.std,../reference/api/pandas.core.resample.Resampler.std
generated/pandas.core.resample.Resampler.sum,../reference/api/pandas.core.resample.Resampler.sum
generated/pandas.core.resample.Resampler.transform,../reference/api/pandas.core.resample.Resampler.transform
generated/pandas.core.resample.Resampler.var,../reference/api/pandas.core.resample.Resampler.var
generated/pandas.core.window.EWM.corr,../reference/api/pandas.core.window.EWM.corr
generated/pandas.core.window.EWM.cov,../reference/api/pandas.core.window.EWM.cov
generated/pandas.core.window.EWM.mean,../reference/api/pandas.core.window.EWM.mean
generated/pandas.core.window.EWM.std,../reference/api/pandas.core.window.EWM.std
generated/pandas.core.window.EWM.var,../reference/api/pandas.core.window.EWM.var
generated/pandas.core.window.Expanding.aggregate,../reference/api/pandas.core.window.Expanding.aggregate
generated/pandas.core.window.Expanding.apply,../reference/api/pandas.core.window.Expanding.apply
generated/pandas.core.window.Expanding.corr,../reference/api/pandas.core.window.Expanding.corr
generated/pandas.core.window.Expanding.count,../reference/api/pandas.core.window.Expanding.count
generated/pandas.core.window.Expanding.cov,../reference/api/pandas.core.window.Expanding.cov
generated/pandas.core.window.Expanding.kurt,../reference/api/pandas.core.window.Expanding.kurt
generated/pandas.core.window.Expanding.max,../reference/api/pandas.core.window.Expanding.max
generated/pandas.core.window.Expanding.mean,../reference/api/pandas.core.window.Expanding.mean
generated/pandas.core.window.Expanding.median,../reference/api/pandas.core.window.Expanding.median
generated/pandas.core.window.Expanding.min,../reference/api/pandas.core.window.Expanding.min
generated/pandas.core.window.Expanding.quantile,../reference/api/pandas.core.window.Expanding.quantile
generated/pandas.core.window.Expanding.skew,../reference/api/pandas.core.window.Expanding.skew
generated/pandas.core.window.Expanding.std,../reference/api/pandas.core.window.Expanding.std
generated/pandas.core.window.Expanding.sum,../reference/api/pandas.core.window.Expanding.sum
generated/pandas.core.window.Expanding.var,../reference/api/pandas.core.window.Expanding.var
generated/pandas.core.window.Rolling.aggregate,../reference/api/pandas.core.window.rolling.Rolling.aggregate
generated/pandas.core.window.Rolling.apply,../reference/api/pandas.core.window.rolling.Rolling.apply
generated/pandas.core.window.Rolling.corr,../reference/api/pandas.core.window.rolling.Rolling.corr
generated/pandas.core.window.Rolling.count,../reference/api/pandas.core.window.rolling.Rolling.count
generated/pandas.core.window.Rolling.cov,../reference/api/pandas.core.window.rolling.Rolling.cov
generated/pandas.core.window.Rolling.kurt,../reference/api/pandas.core.window.rolling.Rolling.kurt
generated/pandas.core.window.Rolling.max,../reference/api/pandas.core.window.rolling.Rolling.max
generated/pandas.core.window.Rolling.mean,../reference/api/pandas.core.window.rolling.Rolling.mean
generated/pandas.core.window.Rolling.median,../reference/api/pandas.core.window.rolling.Rolling.median
generated/pandas.core.window.Rolling.min,../reference/api/pandas.core.window.rolling.Rolling.min
generated/pandas.core.window.Rolling.quantile,../reference/api/pandas.core.window.rolling.Rolling.quantile
generated/pandas.core.window.Rolling.skew,../reference/api/pandas.core.window.rolling.Rolling.skew
generated/pandas.core.window.Rolling.std,../reference/api/pandas.core.window.rolling.Rolling.std
generated/pandas.core.window.Rolling.sum,../reference/api/pandas.core.window.rolling.Rolling.sum
generated/pandas.core.window.Rolling.var,../reference/api/pandas.core.window.rolling.Rolling.var
generated/pandas.core.window.Window.mean,../reference/api/pandas.core.window.Window.mean
generated/pandas.core.window.Window.sum,../reference/api/pandas.core.window.Window.sum
generated/pandas.crosstab,../reference/api/pandas.crosstab
generated/pandas.cut,../reference/api/pandas.cut
generated/pandas.DataFrame.abs,../reference/api/pandas.DataFrame.abs
generated/pandas.DataFrame.add,../reference/api/pandas.DataFrame.add
generated/pandas.DataFrame.add_prefix,../reference/api/pandas.DataFrame.add_prefix
generated/pandas.DataFrame.add_suffix,../reference/api/pandas.DataFrame.add_suffix
generated/pandas.DataFrame.agg,../reference/api/pandas.DataFrame.agg
generated/pandas.DataFrame.aggregate,../reference/api/pandas.DataFrame.aggregate
generated/pandas.DataFrame.align,../reference/api/pandas.DataFrame.align
generated/pandas.DataFrame.all,../reference/api/pandas.DataFrame.all
generated/pandas.DataFrame.any,../reference/api/pandas.DataFrame.any
generated/pandas.DataFrame.append,../reference/api/pandas.DataFrame.append
generated/pandas.DataFrame.apply,../reference/api/pandas.DataFrame.apply
generated/pandas.DataFrame.applymap,../reference/api/pandas.DataFrame.applymap
generated/pandas.DataFrame.as_blocks,../reference/api/pandas.DataFrame.as_blocks
generated/pandas.DataFrame.asfreq,../reference/api/pandas.DataFrame.asfreq
generated/pandas.DataFrame.as_matrix,../reference/api/pandas.DataFrame.as_matrix
generated/pandas.DataFrame.asof,../reference/api/pandas.DataFrame.asof
generated/pandas.DataFrame.assign,../reference/api/pandas.DataFrame.assign
generated/pandas.DataFrame.astype,../reference/api/pandas.DataFrame.astype
generated/pandas.DataFrame.at,../reference/api/pandas.DataFrame.at
generated/pandas.DataFrame.at_time,../reference/api/pandas.DataFrame.at_time
generated/pandas.DataFrame.axes,../reference/api/pandas.DataFrame.axes
generated/pandas.DataFrame.between_time,../reference/api/pandas.DataFrame.between_time
generated/pandas.DataFrame.bfill,../reference/api/pandas.DataFrame.bfill
generated/pandas.DataFrame.blocks,../reference/api/pandas.DataFrame.blocks
generated/pandas.DataFrame.bool,../reference/api/pandas.DataFrame.bool
generated/pandas.DataFrame.boxplot,../reference/api/pandas.DataFrame.boxplot
generated/pandas.DataFrame.clip,../reference/api/pandas.DataFrame.clip
generated/pandas.DataFrame.clip_lower,../reference/api/pandas.DataFrame.clip_lower
generated/pandas.DataFrame.clip_upper,../reference/api/pandas.DataFrame.clip_upper
generated/pandas.DataFrame.columns,../reference/api/pandas.DataFrame.columns
generated/pandas.DataFrame.combine_first,../reference/api/pandas.DataFrame.combine_first
generated/pandas.DataFrame.combine,../reference/api/pandas.DataFrame.combine
generated/pandas.DataFrame.convert_objects,../reference/api/pandas.DataFrame.convert_objects
generated/pandas.DataFrame.copy,../reference/api/pandas.DataFrame.copy
generated/pandas.DataFrame.corr,../reference/api/pandas.DataFrame.corr
generated/pandas.DataFrame.corrwith,../reference/api/pandas.DataFrame.corrwith
generated/pandas.DataFrame.count,../reference/api/pandas.DataFrame.count
generated/pandas.DataFrame.cov,../reference/api/pandas.DataFrame.cov
generated/pandas.DataFrame.cummax,../reference/api/pandas.DataFrame.cummax
generated/pandas.DataFrame.cummin,../reference/api/pandas.DataFrame.cummin
generated/pandas.DataFrame.cumprod,../reference/api/pandas.DataFrame.cumprod
generated/pandas.DataFrame.cumsum,../reference/api/pandas.DataFrame.cumsum
generated/pandas.DataFrame.describe,../reference/api/pandas.DataFrame.describe
generated/pandas.DataFrame.diff,../reference/api/pandas.DataFrame.diff
generated/pandas.DataFrame.div,../reference/api/pandas.DataFrame.div
generated/pandas.DataFrame.divide,../reference/api/pandas.DataFrame.divide
generated/pandas.DataFrame.dot,../reference/api/pandas.DataFrame.dot
generated/pandas.DataFrame.drop_duplicates,../reference/api/pandas.DataFrame.drop_duplicates
generated/pandas.DataFrame.drop,../reference/api/pandas.DataFrame.drop
generated/pandas.DataFrame.droplevel,../reference/api/pandas.DataFrame.droplevel
generated/pandas.DataFrame.dropna,../reference/api/pandas.DataFrame.dropna
generated/pandas.DataFrame.dtypes,../reference/api/pandas.DataFrame.dtypes
generated/pandas.DataFrame.duplicated,../reference/api/pandas.DataFrame.duplicated
generated/pandas.DataFrame.empty,../reference/api/pandas.DataFrame.empty
generated/pandas.DataFrame.eq,../reference/api/pandas.DataFrame.eq
generated/pandas.DataFrame.equals,../reference/api/pandas.DataFrame.equals
generated/pandas.DataFrame.eval,../reference/api/pandas.DataFrame.eval
generated/pandas.DataFrame.ewm,../reference/api/pandas.DataFrame.ewm
generated/pandas.DataFrame.expanding,../reference/api/pandas.DataFrame.expanding
generated/pandas.DataFrame.ffill,../reference/api/pandas.DataFrame.ffill
generated/pandas.DataFrame.fillna,../reference/api/pandas.DataFrame.fillna
generated/pandas.DataFrame.filter,../reference/api/pandas.DataFrame.filter
