obs,totbill,tip,sex,smoker,day,time,size
120,24.08, 2.92,F,No,Thu,Day,4
121,11.69, 2.31,M,No,Thu,Day,2
122,13.42, 1.68,F,No,Thu,Day,2
123,14.26, 2.50,M,No,Thu,Day,2
124,15.95, 2.00,M,No,Thu,Day,2
125,12.48, 2.52,F,No,Thu,Day,2
126,29.80, 4.20,F,No,Thu,Day,6
127, 8.52, 1.48,M,No,Thu,Day,2
128,14.52, 2.00,F,No,Thu,Day,2
129,11.38, 2.00,F,No,Thu,Day,2
130,22.82, 2.18,M,No,Thu,Day,3
131,19.08, 1.50,M,No,Thu,Day,2
132,20.27, 2.83,F,No,Thu,Day,2
133,11.17, 1.50,F,No,Thu,Day,2
134,12.26, 2.00,F,No,Thu,Day,2
135,18.26, 3.25,F,No,Thu,Day,2
136, 8.51, 1.25,F,No,Thu,Day,2
137,10.33, 2.00,F,No,Thu,Day,2
138,14.15, 2.00,F,No,Thu,Day,2
139,16.00, 2.00,M,Yes,Thu,Day,2
140,13.16, 2.75,F,No,Thu,Day,2
141,17.47, 3.50,F,No,Thu,Day,2
142,34.30, 6.70,M,No,Thu,Day,6
143,41.19, 5.00,M,No,Thu,Day,5
144,27.05, 5.00,F,No,Thu,Day,6
145,16.43, 2.30,F,No,Thu,Day,2
146, 8.35, 1.50,F,No,Thu,Day,2
147,18.64, 1.36,F,No,Thu,Day,3
148,11.87, 1.63,F,No,Thu,Day,2
149, 9.78, 1.73,M,No,Thu,Day,2
150, 7.51, 2.00,M,No,Thu,Day,2
151,14.07, 2.50,M,No,Sun,Night,2
152,13.13, 2.00,M,No,Sun,Night,2
153,17.26, 2.74,M,No,Sun,Night,3
154,24.55, 2.00,M,No,Sun,Night,4
155,19.77, 2.00,M,No,Sun,Night,4
156,29.85, 5.14,F,No,Sun,Night,5
157,48.17, 5.00,M,No,Sun,Night,6
158,25.00, 3.75,F,No,Sun,Night,4
159,13.39, 2.61,F,No,Sun,Night,2
160,16.49, 2.00,M,No,Sun,Night,4
161,21.50, 3.50,M,No,Sun,Night,4
162,12.66, 2.50,M,No,Sun,Night,2
163,16.21, 2.00,F,No,Sun,Night,3
164,13.81, 2.00,M,No,Sun,Night,2
165,17.51, 3.00,F,Yes,Sun,Night,2
166,24.52, 3.48,M,No,Sun,Night,3
167,20.76, 2.24,M,No,Sun,Night,2
168,31.71, 4.50,M,No,Sun,Night,4
169,10.59, 1.61,F,Yes,Sat,Night,2
170,10.63, 2.00,F,Yes,Sat,Night,2
171,50.81,10.00,M,Yes,Sat,Night,3
172,15.81, 3.16,M,Yes,Sat,Night,2
173, 7.25, 5.15,M,Yes,Sun,Night,2
174,31.85, 3.18,M,Yes,Sun,Night,2
175,16.82, 4.00,M,Yes,Sun,Night,2
176,32.90, 3.11,M,Yes,Sun,Night,2
177,17.89, 2.00,M,Yes,Sun,Night,2
178,14.48, 2.00,M,Yes,Sun,Night,2
179, 9.60, 4.00,F,Yes,Sun,Night,2
180,34.63, 3.55,M,Yes,Sun,Night,2
181,34.65, 3.68,M,Yes,Sun,Night,4
182,23.33, 5.65,M,Yes,Sun,Night,2
183,45.35, 3.50,M,Yes,Sun,Night,3
184,23.17, 6.50,M,Yes,Sun,Night,4
185,40.55, 3.00,M,Yes,Sun,Night,2
186,20.69, 5.00,M,No,Sun,Night,5
187,20.90, 3.50,F,Yes,Sun,Night,3
188,30.46, 2.00,M,Yes,Sun,Night,5
189,18.15, 3.50,F,Yes,Sun,Night,3
190,23.10, 4.00,M,Yes,Sun,Night,3
191,15.69, 1.50,M,Yes,Sun,Night,2
192,19.81, 4.19,F,Yes,Thu,Day,2
193,28.44, 2.56,M,Yes,Thu,Day,2
194,15.48, 2.02,M,Yes,Thu,Day,2
195,16.58, 4.00,M,Yes,Thu,Day,2
196, 7.56, 1.44,M,No,Thu,Day,2
197,10.34, 2.00,M,Yes,Thu,Day,2
198,43.11, 5.00,F,Yes,Thu,Day,4
199,13.00, 2.00,F,Yes,Thu,Day,2
200,13.51, 2.00,M,Yes,Thu,Day,2
201,18.71, 4.00,M,Yes,Thu,Day,3
202,12.74, 2.01,F,Yes,Thu,Day,2
203,13.00, 2.00,F,Yes,Thu,Day,2
204,16.40, 2.50,F,Yes,Thu,Day,2
205,20.53, 4.00,M,Yes,Thu,Day,4
206,16.47, 3.23,F,Yes,Thu,Day,3
207,26.59, 3.41,M,Yes,Sat,Night,3
208,38.73, 3.00,M,Yes,Sat,Night,4
209,24.27, 2.03,M,Yes,Sat,Night,2
210,12.76, 2.23,F,Yes,Sat,Night,2
211,30.06, 2.00,M,Yes,Sat,Night,3
212,25.89, 5.16,M,Yes,Sat,Night,4
213,48.33, 9.00,M,No,Sat,Night,4
214,13.27, 2.50,F,Yes,Sat,Night,2
215,28.17, 6.50,F,Yes,Sat,Night,3
216,12.90, 1.10,F,Yes,Sat,Night,2
217,28.15, 3.00,M,Yes,Sat,Night,5
218,11.59, 1.50,M,Yes,Sat,Night,2
219, 7.74, 1.44,M,Yes,Sat,Night,2
220,30.14, 3.09,F,Yes,Sat,Night,4
221,12.16, 2.20,M,Yes,Fri,Day,2
222,13.42, 3.48,F,Yes,Fri,Day,2
223, 8.58, 1.92,M,Yes,Fri,Day,1
224,15.98, 3.00,F,No,Fri,Day,3
225,13.42, 1.58,M,Yes,Fri,Day,2
226,16.27, 2.50,F,Yes,Fri,Day,2
227,10.09, 2.00,F,Yes,Fri,Day,2
228,20.45, 3.00,M,No,Sat,Night,4
229,13.28, 2.72,M,No,Sat,Night,2
230,22.12, 2.88,F,Yes,Sat,Night,2
231,24.01, 2.00,M,Yes,Sat,Night,4
232,15.69, 3.00,M,Yes,Sat,Night,3
233,11.61, 3.39,M,No,Sat,Night,2
234,10.77, 1.47,M,No,Sat,Night,2
235,15.53, 3.00,M,Yes,Sat,Night,2
236,10.07, 1.25,M,No,Sat,Night,2
237,12.60, 1.00,M,Yes,Sat,Night,2
238,32.83, 1.17,M,Yes,Sat,Night,2
239,35.83, 4.67,F,No,Sat,Night,3
240,29.03, 5.92,M,No,Sat,Night,3
241,27.18, 2.00,F,Yes,Sat,Night,2
242,22.67, 2.00,M,Yes,Sat,Night,2
243,17.82, 1.75,M,No,Sat,Night,2
244,18.78, 3.00,F,No,Thu,Night,2
